cluster_id,label,count,avg_stars,top_terms
0,Gift Purchases,98,4.255102040816326,"black friday, friday, black, deal, friday deal, price, friday sale, sale, great, christmas"
1,Battery Life Satisfaction,507,4.68836291913215,"battery life, life, battery, sound, great, quality, long, sound quality, good, headphone"
2,Headphone Beat Use,1710,3.814035087719298,"headphone, beat, use, good, buy, product, work, like, pair, price"
3,Comfort Issues (Ear Pain/Fit),556,3.5305755395683454,"ear, hurt, hurt ear, wear, small, head, sound, headphone, like, long"
4,Noise Cancellation,548,4.489051094890511,"noise, cancel, noise cancel, noise cancellation, cancellation, great, headphone, love, sound, comfortable"
5,Excellent Sound Quality,279,4.634408602150538,"point, good point, improvement point, improvement, good, sound, quality, point sound, point comfortable, sound improvement"
6,Gift Purchases,408,4.571078431372549,"christmas, gift, daughter, love, buy, christmas gift, daughter love, present, great, christmas present"
7,Color & Design,791,4.850821744627054,"love, sound, color, headphone, amazing, beat, use, comfortable, love beat, love headphone"
8,Excellent Sound Quality,843,4.644128113879003,"great, sound, quality, sound quality, great sound, good, headphone, comfortable, use, amazing"
9,Product Failures/Breaking,176,1.7670454545454546,"stop, stop work, work, month, work month, buy, right, year, just, warranty"
